English,IPA,Vietnamese
abandon,ə'bændən,bỏ từ bỏ
abandoned,ə'bændənd,bị bỏ rơi
ability,ə'biliti,khả năng
able,eibl,có năng lực có tài
unable,ʌn'eibl,không có năng lực
about,ə'baut,khoảng
above,ə'bʌv,ở trên
abroad,ə'brɔ:d,ra nước ngoài
absence,æbsəns,sự vắng mặt
absent,æbsənt,vắng mặt
absolute,æbsəlu:t,tuyệt đối
absolutely,æbsəlu:tli,tuyệt đối
absorb,əb'sɔ:b,thu hút
abuse,ə'bju:s,lộng hành lạm dụng
academic,ækə'demik,thuộc học viện ĐH viện hàn lâm
accent,æksənt,trọng âm dấu trọng âm
accept,ək'sept,chấp nhận chấp thuận
acceptable,ək'septəbl,có thể chấp nhận chấp thuận
access,ækses,lối cửa đường vào
accident,æksidənt,tai nạn rủi ro
accidental,æksi'dentl,tình cờ bất ngờ
accidentally,æksi'dentəli,tình cờ ngẫu nhiên
accommodation,əkɔmə'deiʃn,sự thích nghi điều tiết
accompany,ə'kʌmpəni,đi theo đi cùng kèm theo
according to,ə'kɔ:diɳ,theo y theo
account,ə'kaunt,tài khoản kế toán; tính toán tính đến
accurate,ækjurit,đúng đắn chính xác xác đáng
accurately,ækjuritli,đúng đắn chính xác
accuse,ə'kju:z,tố cáo buộc tội kết tội
achieve,ə'tʃi:v,đạt được dành được
achievement,ə'tʃi:vmənt,thành tích thành tựu
acid,æsid,axit
acknowledge,ək'nɔlidʤ,công nhận thừa nhận
acquire,ə'kwaiə,dành được đạt được kiếm được
across,ə'krɔs,qua ngang qua
act,ækt,hành động hành vi cử chỉ đối xử
action,ækʃn,hành động hành vi tác động
active,æktiv,tích cực hoạt động nhanh nhẹn
actor actress,æktə; 'æktris,diễn viên
actual,æktjuəl,thực tế có thật
actually,æktjuəli,hiện nay hiện tại
advertisement,əd'və:tismənt,quảng cáo
adapt,ə'dæpt,tra lắp vào
add,æd,cộng thêm vào
addition,ə'diʃn,tính cộng phép cộng
additional,ə'diʃənl,thêm vào tăng thêm
address,ə'dres,địa chỉ đề địa chỉ
adequate,ædikwit,đầy đầy đủ
adequately,ædikwitli,tương xứng thỏa đáng
adjust,ə'dʤʌst,sửa lại cho đúng điều chỉnh
admiration,ædmə'reiʃn,sự khâm phụcngười kp thán phục
admire,əd'maiə,khâm phục thán phục
admit,əd'mit,nhận vào cho vào kết hợp
adopt,ə'dɔpt,nhận làm con nuôi bố mẹ nuôi
adult,ædʌlt,người lớn người trưởng thành; trưởng thành
