English,Vietnamese
the,các
be,thì là ở
and,và
of,của
a,một
in,Trong
to,đến
have,có
to,đến
it,nó
I,Tôi
that,cái đó
for,vì
you,bạn
he,anh ta
with,với
on,trên
do,làm
s,S
say,Nói
they,họ
this,đây
but,nhưng
at,tại
we,chúng tôi
his,của anh
from,từ
that,cái đó
not,không phải
n't,Không
by,qua
or,hoặc
she,cô ấy
as,như
what,Gì
go,đi
their,của chúng
will,sẽ
who,ai
can,có thể
get,lấy
if,nếu
all,tất cả các
would,sẽ
her,cô ấy
make,làm
about,Về
my,của tôi
know,biết
as,như
there,ở đó
one,một
up,lên
time,thời gian
year,năm
so,vì thế
think,nghĩ
see,hiểu
which,cái mà
when,khi nào
some,một số
them,họ
people,Mọi người
take,cầm lấy
me,tôi
out,ngoài
into,vào trong
just,chỉ
him,anh ta
come,đến
your,của bạn
now,bây giờ
could,có thể
than,hơn
like,giống
other,khác
then,sau đó
how,thế nào
its,nó là
two,hai
our,của chúng tôi
more,hơn
these,này
want,muốn
way,đường
no,không
look,nhìn
first,Đầu tiên
also,cũng
new,Mới
because,tại vì
day,ngày
more,hơn
use,sử dụng
man,Đàn ông
here,nơi đây
find,tìm thấy
give,cho
thing,Điều
well,Tốt
many,nhiều
only,chỉ có
those,những thứ kia
tell,kể
very,rất
one,một
even,thậm chí
her,cô ấy
back,mặt sau
any,không tí nào
good,tốt
us,chúng ta
through,xuyên qua
woman,người đàn bà
life,đời sống
child,đứa trẻ
there,ở đó
down,xuống
work,công việc
after,sau
call,cuộc gọi
may,có thể
world,thế giới
over,kết thúc
should,Nên
still,còn
try,thử
in,Trong
school,trường học
as,như
last,Cuối cùng
ask,hỏi
too,cũng vậy
need,cần
three,số ba
feel,cảm thấy
when,khi nào
become,trở thành
state,tiểu bang
never,không bao giờ
between,giữa
high,cao
something,thứ gì đó
really,thật sự
most,phần lớn
another,nữa
much,nhiều
own,riêng
family,gia đình
out,ngoài
house,nhà ở
leave,rời bỏ
put,đặt
old,cũ
on,trên
while,trong khi
mean,bần tiện
let,để cho
why,tại sao
president,chủ tịch
keep,giữ cho
same,tương tự
great,Tuyệt
begin,bắt đầu
big,to lớn
seem,hình như
group,tập đoàn
country,quốc gia
talk,nói chuyện
problem,vấn đề
where,ở đâu
turn,xoay
student,sinh viên
every,mọi
hand,tay
help,Cứu giúp
against,chống lại
start,bắt đầu
American,Người Mỹ
part,phần
show,buổi bieu diễn
about,Về
over,kết thúc
might,có thể
such,như là
place,nơi
again,lại
city,thành phố
case,trường hợp
most,phần lớn
few,vài
system,hệ thống
week,tuần
where,ở đâu
company,Công ty
each,mỗi
percent,phần trăm
hear,Nghe
so,vì thế
during,suốt trong
question,câu hỏi
right,bên phải
program,chương trình
work,công việc
run,chạy
number,con số
small,nhỏ bé
government,chính quyền
play,chơi
off,tắt
move,di chuyển
like,giống
always,luôn luôn
night,đêm
believe,tin
today,hôm nay
hold,tổ chức
point,điểm
live,trực tiếp
happen,xảy ra
bring,cung cấp 
next,tiếp theo
without,không có
before,trước
large,lớn
must,phải
all,tất cả các
war,chiến tranh
home,Trang Chủ
under,Dưới
room,phòng
fact,thực tế
area,diện tích
national,Quốc gia
write,viết
money,tiền bạc
right,bên phải
story,câu chuyện
water,nước
mother,mẹ
different,khác nhau
young,trẻ tuổi
month,tháng
lot,rất nhiều
book,sách
eye,con mắt
study,nghiên cứu
job,Công việc
kind,tốt bụng
word,từ
issue,vấn đề
side,cạnh
four,Bốn
business,việc kinh doanh
though,Tuy nhiên
head,cái đầu
far,xa
long,Dài
black,màu đen
million,triệu
both,cả hai
little,nhỏ bé
yes,Vâng
after,sau
since,từ
around,vòng quanh
long,Dài
provide,cung cấp
service,Dịch vụ
important,quan trọng
sit,ngồi
away,xa
friend,bạn
however,tuy nhiên
power,sức mạnh
no,không
yet,nhưng
father,cha
hour,giờ
often,thường
until,cho đến khi
political,chính trị
line,hàng
end,chấm dứt
stand,đứng
among,giữa
game,trò chơi
ever,bao giờ
lose,mất
